rank,repo,issue_url,title,author_login,company_field,blog,bio_excerpt,deployer_phrases,issue_age_days,labels,comments,classification_reasons
1,directus/directus,https://github.com/directus/directus/issues/28281,Critical! Directus product_id changes during schema-sync,u12206050,BCC,https://www.buymeacoffee.com/gerard,Full-stack developer & contributor to the open source community,in production;self-hosted,1,Needs Info,3,company:BCC;blog:https://www.buymeacoffee.com/gerard
2,strapi/strapi,https://github.com/strapi/strapi/issues/27670,Allow Strapi CLI commands to skip TypeScript compilation,unrevised6419,@all1ndev,https://all1n.dev,,in production,9,,1,company:@all1ndev;blog:https://all1n.dev
3,medusajs/medusa,https://github.com/medusajs/medusa/issues/16807,Bug: deleteOrders deletes all order_address rows when address IDs are null (wipes completed orders v,princeparmar,SmartByteLabs,https://smartbytelabs.com/,"Expert Senior Golang Developer | MakeMyTrip & Future Group | since2018  🚀 Golang Developer | Expert Senior Developer |",in production,12,type: bug;requires-team,3,company:SmartByteLabs;blog:https://smartbytelabs.com/
4,appwrite/appwrite,https://github.com/appwrite/appwrite/issues/13517,Sites return HTTP 500 with a correct response body above ~36 concurrent connec,maciejdudek92,NEXTLEVEL GROUP,,,self-hosted;our instance,16,product / storage;product / databases;product / functions;product / console;product / self-hosted;product / vcs;product / sites;sdk / cli,2,company:NEXTLEVEL GROUP
5,strapi/strapi,https://github.com/strapi/strapi/issues/27567,Internal migrations have no concurrency guard: two instances booting in parallel run 5.0.0-discard-d,marxtin,@t3n ,,Dev @t3n ,in production,17,issue: bug;source: core:database;status: pending reproduction;version: 5,2,company:@t3n
6,calcom/cal.diy,https://github.com/calcom/cal.diy/issues/30044,[BUG] All booking emails silently skipped when every calendar integration result fails — guest recei,dewet22,Newton's Tree,,"Lifelong hacker and tinkerer. Today's secret codes: 3985608/16042022/9218312",in production;self-hosted,27,,0,company:Newton's Tree
7,appwrite/appwrite,https://github.com/appwrite/appwrite/issues/13317,## Feature: Multi-condition permission checks (AND logic),imtia33,@Amplytic-Labs ,https://axistro.dev,Full stack react native developer.,our team,31,product / databases;product / messaging,2,company:@Amplytic-Labs;blog:https://axistro.dev
8,vendurehq/vendure,https://github.com/vendurehq/vendure/issues/5166,preventOverlap cannot protect a task that runs longer than its own schedule interval,juangadiel,PR3SET,https://www.linkedin.com/in/juangadiel,"Founder & CTO @ PR3SET LLC | Senior Software Engineer & Architect |  https://pr3set.com",in production,32,type: bug 🐛,2,"company:PR3SET;bio:Founder & CTO @ PR3SET LLC | Senior Software Engineer & Architect |  https://pr"
9,vendurehq/vendure,https://github.com/vendurehq/vendure/issues/5165,"Scheduled task timeout releases the lock but leaves the task running, allowing unbounded overlapping",juangadiel,PR3SET,https://www.linkedin.com/in/juangadiel,"Founder & CTO @ PR3SET LLC | Senior Software Engineer & Architect |  https://pr3set.com",in production,32,type: bug 🐛,2,"company:PR3SET;bio:Founder & CTO @ PR3SET LLC | Senior Software Engineer & Architect |  https://pr"
10,documenso/documenso,https://github.com/documenso/documenso/issues/3287,"After a 200 from POST /api/v2/envelope/recipient/{id}/reject the envelope is still PENDING, and othe",truecourse-agent,TrueCourse,https://truecourse.dev/,,in production;self-hosted,34,status: triage,1,company:TrueCourse
11,RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat/issues/41848,Federation (matrix): incoming media message (m.video/image/…) is silently dropped when remote media ,geekgonecrazy,@atomicdotdev,https://aaronogle.dev,,in production;enterprise,36,type: bug,3,company:@atomicdotdev
12,strapi/strapi,https://github.com/strapi/strapi/issues/27011,Media field updating with incorrect random image,rubek-joshi,Ottr Technology,,,in production,72,issue: bug;source: core:upload;status: pending reproduction;flag: EE;version: 5,7,company:Ottr Technology
13,Infisical/infisical,https://github.com/Infisical/infisical/issues/7204,Docs: Supabase secret sync — behavior when hitting Supabase's hardcoded 100-secret limit is undocume,winkelmeyer,Clera,https://x.com/danwintermeyer,CTO Clera | Just a man heads down building,in production,78,,2,company:Clera;bio:CTO Clera | Just a man heads down building
14,appwrite/appwrite,https://github.com/appwrite/appwrite/issues/12623,🐛 SMTP keepalive causes 421 timeout on first send after idle; subsequent sends work (1.9.0 self-host,nighodev,@Tradoo-AI ,https://cryptron.io,CTO & Co-Founder @Tradoo-AI | Blockchain Engineering & AI Analysis,in production;we use;self-hosted,97,product / storage;product / auth;product / functions;product / self-hosted;product / messaging;product / vcs;product / domains;product / sites;sdk / cli,3,company:@Tradoo-AI;blog:https://cryptron.io;bio:CTO & Co-Founder @Tradoo-AI | Blockchain Engineering & AI Analysis
15,vendurehq/vendure,https://github.com/vendurehq/vendure/issues/4023,Cannot start the Dashboard in production,goran-zdjelar,Bind Technologies,,,in production,294,status: reproduction needed 🔁;@vendure/dashboard;T3: Systemic,13,company:Bind Technologies
16,formbricks/formbricks,https://github.com/formbricks/formbricks/issues/5958,Webhook re-run for specific responses,noahboegli,"@swiss-virtual, Ensemble Hospitalier de la Côte",,Parse error syntax error unexpected '$biography' (t_variable),we use,471,,2,"company:@swiss-virtual, Ensemble Hospitalier de la Côte"
17,vendurehq/vendure,https://github.com/vendurehq/vendure/issues/3557,runPromotionSideEffects Runs without saving the result,mschipperheyn,Mobile Minds,https://www.mobileminds.com.br,"Dutch developer living in Brazil. Node, ReactJs, React Native, GraphQL, ORM, Typescript, Vendure",we use,490,type: bug 🐛;@vendure/core;T2: Elevated risk,0,company:Mobile Minds;blog:https://www.mobileminds.com.br
18,medusajs/medusa,https://github.com/medusajs/medusa/issues/16950,"[Bug]: [draft-order] Admin crashes with ""Cannot read properties of null (reading 'email')"" when a re",jabarientergalactic,,https://entergalactic.ru/,,in production,1,good first issue;type: bug;status: needs triaging;version: 2.0,1,blog:https://entergalactic.ru/
19,calcom/cal.diy,https://github.com/calcom/cal.diy/issues/30193,Embed: let the host page set the booker language,gianpaj,,https://holabrisa.com,Builder ✦ Tinkerer ✦ Software Developer 🌞,in production,5,✨ feature;🚨 needs approval,1,blog:https://holabrisa.com
20,payloadcms/payload,https://github.com/payloadcms/payload/issues/18086,"payload run reports success in four distinct failure modes, one of which dev-pushes to a remote data",amirtabatabaei69,,amirtaba.dev,,we use,22,Bug,3,blog:amirtaba.dev
21,n8n-io/n8n,https://github.com/n8n-io/n8n/issues/39444,deactivated workflows keep running — schedule registrations are never cleaned up,hossam-abdelmajeed,@talabat-dhme ,,,self-hosted;enterprise,0,team:cats;status:in-linear;status:team-assigned,1,company:@talabat-dhme
22,directus/directus,https://github.com/directus/directus/issues/28288,`_some` / `_none` on an o2m is silently ignored when it contains `_and` / `_or` or more than one fie,rizz360,@cc-cdv-lu ,,i should start using this...,self-hosted,0,,1,company:@cc-cdv-lu
23,langgenius/dify,https://github.com/langgenius/dify/issues/42909,Save does nothing when adding credentials from predefined model load balancing,zyileven,tavan,,,self hosted,0,review: medium,1,company:tavan
24,n8n-io/n8n,https://github.com/n8n-io/n8n/issues/39329,"Schedule Trigger, Google Calendar and Date & Time v1 are one hour off for America/Vancouver and Amer",danaharrison,Telus,www.dharrison.ca,"Principal Site Reliability Engineer @telus | Passionate about surfacing data, automation, reducing toil, and making slow",self-hosted,1,team:nodes;status:in-linear;status:team-assigned,2,"company:Telus;bio:Principal Site Reliability Engineer @telus | Passionate about surfacing data, au"
25,n8n-io/n8n,https://github.com/n8n-io/n8n/issues/39327,SQLite WAL file grows unbounded (18GB+) causing severe execution slowdown; only fixed by restart (DB,huseyincenik,@JohnSnowLabs ,,🚀 Data Scientist at @JohnSnowLabs ,self-hosted,1,team:cats;status:in-linear;status:team-assigned,1,company:@JohnSnowLabs
26,baptisteArno/typebot.io,https://github.com/baptisteArno/typebot.io/issues/2609,[Bug]: Line breaks (&#10;) in Text input placeholder are escaped and displayed literally,damien-list,Vertical-Mail,,,self-hosted,1,triage,0,company:Vertical-Mail
27,n8n-io/n8n,https://github.com/n8n-io/n8n/issues/39222,n8n Assistant Kimi conversations fail with HTTP 400 after the first response,xangelix,???,cody.fun,"Yale College Student ——————  InfoSec, Software Engineering, Solutions Architecture",self-hosted;self hosted;enterprise,2,status:in-linear,1,company:???
28,directus/directus,https://github.com/directus/directus/issues/28272,Junction fields on m2m not showing when batch editing.,u12206050,BCC,https://www.buymeacoffee.com/gerard,Full-stack developer & contributor to the open source community,self-hosted,2,,1,company:BCC;blog:https://www.buymeacoffee.com/gerard
29,hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch/issues/6665,[bug]: Dark Theme changes the preview result of http request,07prajwal2000,Fluxify,https://www.fluxify.rest,Creator of @Fluxify-rest - Open Source Agentic Low-Code Backend Development Platform,self-hosted,2,bug;need testing,0,company:Fluxify;blog:https://www.fluxify.rest
30,documenso/documenso,https://github.com/documenso/documenso/issues/3383,Completion emails fail for all recipients when the sealed PDF exceeds the SMTP provider message size,MeyerOppelt,University of South Dakota,https://routebill.com,USD CompSci 2029,self-hosted,2,status: triage,2,company:University of South Dakota;blog:https://routebill.com
31,appwrite/appwrite,https://github.com/appwrite/appwrite/issues/13808,🐛 Bug Report: Deleting a storage bucket leaves its files on S3-compatible storage,jbdujardin,EIRL JB DUJARDIN,,,self-hosted,3,product / storage;product / databases;product / functions;product / self-hosted;product / messaging;product / sites,0,company:EIRL JB DUJARDIN
